video_id,channel_title,category,log_views,chan_mean_oof,chan_mean_naive,chan_freq
XiIShINrftE,Capital FM,Music,14.253244062653811,14.118596627317824,14.185920344985817,2
au5hwGS4KRE,NJ.com,News & Politics,14.254604491672856,10.984584404690686,12.07459110035141,3
azFsk42kb5E,Vanity Fair,Entertainment,14.255098148896591,13.083275253681965,12.989106466683085,22
mlJGtSg5oRw,CaseyNeistat,People & Blogs,14.256084732852669,14.762247120682256,14.76866950687036,12
aoY0J5jSbTM,The Graham Norton Show,Entertainment,14.25662205019781,13.726517509483157,13.95374699235453,15
GEsK9GudV2M,TroyeSivanVEVO,Music,14.258270166293794,14.73116540474131,14.66360894210595,7
mewW_pRSgEc,Late Night with Seth Meyers,Comedy,14.259490360822602,12.848424084474273,12.949443931388277,37
8hKbIhrb1WU,TheEllenShow,Entertainment,14.259557713783895,13.674610218099264,13.630704438024322,74
YKkp4jZlIfQ,FBE,Entertainment,14.259703950310191,14.463164341503239,14.437865814258712,25
MeXyRyxCjT4,BuzzFeedVideo,People & Blogs,14.259929676997176,14.017152912787653,13.96932967891961,40
_bVPfM04vOY,MITCHELL WIGGS,Howto & Style,14.260180353456285,12.785657173532156,14.260180353456285,1
HiQHcbFJv_o,IISuperwomanII,Comedy,14.26144943997093,14.432358711721534,14.347233305900595,18
n-H6zIeMiUs,The King of Random,Education,14.262490540495964,13.617951944645863,13.721482802660391,21
eiudTjsGM7g,The Late Late Show with James Corden,Entertainment,14.263249406299767,13.319435936482618,13.565487541986279,46
DZAiRufPx9A,jacksfilms,Comedy,14.263641080449776,14.053388165385062,14.106028735007051,23
EqeIRzY7hIU,CrazyRussianHacker,Science & Technology,14.264326300885427,13.933361133978408,13.986996715125239,15
KrB-ASnFMVQ,Red Bull,Sports,14.266848563280451,12.382424523040045,12.64908981470731,9
NgloGi5xEa8,Binging with Babish,Entertainment,14.268058977571878,13.805703015838418,13.893445808354874,10
TfiTsqa2LB0,Markiplier,Entertainment,14.269958192691409,13.920630379339686,13.95758218228081,6
8brYvhEg5Aw,Netflix,Entertainment,14.270152422172249,13.005930643348684,12.952804275055636,58
uRP4nAGMYCY,zefrank1,People & Blogs,14.270467806021433,14.035457660785601,14.113794375864211,3
__1SjDrSMik,bill wurtz,People & Blogs,14.272159787834209,14.753856913521183,14.63343263209944,4
7IUWv-GmGQg,Jimmy Kimmel Live,Entertainment,14.27338214064496,13.512466486459804,13.533943661262422,70
m4-sL1r9i1I,DemiLovatoVEVO,Music,14.273808441517364,16.173844941537414,15.540499441530729,3
wa9ZyarpM2U,REACT,Entertainment,14.275477108844385,14.07369730216273,14.051557250131124,14
41d9Bd7m8js,Team Coco,Comedy,14.275603993051352,13.664318280530662,13.77832074490804,16
HCO7BWbKipU,Brave Wilderness,Pets & Animals,14.276408480811162,13.966639946113329,14.215024188207995,13
